Geo Point;Geo Shape;id;Année de pose;Localité;Adresse;Quantité;Type;Précisions
50.4528230821,3.9492815785;"{""type"": ""Point"", ""coordinates"": [3.949281578504088, 50.452823082071504]}";113;2021;MONS;Rue Samson;4.0;Arceau publicitaire;
50.4521657738,3.95048331216;"{""type"": ""Point"", ""coordinates"": [3.950483312155556, 50.452165773841756]}";119;2021;MONS;Rue des Fripiers;;Arceau publicitaire;
50.4637739658,3.95362486885;"{""type"": ""Point"", ""coordinates"": [3.953624868851855, 50.46377396582203]}";123;2021;MONS;Rue du Champs de Mars;4.0;Arceau publicitaire;Umons et Haute Ecole Condorcet
50.4689467936,3.93699426363;"{""type"": ""Point"", ""coordinates"": [3.936994263625939, 50.468946793643966]}";124;2021;MONS;Avenue du Grand-Large;4.0;Arceau publicitaire;
50.4595769884,3.95620106991;"{""type"": ""Point"", ""coordinates"": [3.956201069906564, 50.459576988399135]}";134;;MONS;Rue de Nimy;4.0;Arceau en U;En face Arsonic
50.4523071725,3.95397322782;"{""type"": ""Point"", ""coordinates"": [3.953973227816818, 50.45230717249459]}";3;2015;MONS;Rue du Hautbois;3.0;Arceau en U;Intersection avec la Rue de la Clef
50.4538964862,3.95695778201;"{""type"": ""Point"", ""coordinates"": [3.956957782009831, 50.453896486164155]}";30;2018;MONS;Rue d'Havré (Eglise Saint-Nicoles);3.0;Arceau en U;
50.4536398868,3.94993396398;"{""type"": ""Point"", ""coordinates"": [3.949933963976472, 50.45363988679424]}";9;2015;MONS;Beffroi;2.0;Arceau en U;Parc du Château
50.4480908228,3.94921669742;"{""type"": ""Point"", ""coordinates"": [3.949216697423253, 50.44809082279572]}";11;2015;MONS;Eglise Notre-Dame de Messines;2.0;Arceau en U;
50.4543346423,3.95183130484;"{""type"": ""Point"", ""coordinates"": [3.951831304840161, 50.454334642278276]}";22;2018;MONS;Grand Place (Visit Mons);3.0;Arceau en U;
50.4554759354,3.95702401763;"{""type"": ""Point"", ""coordinates"": [3.957024017625046, 50.45547593543412]}";26;2018;MONS;Rue du Gouvernement;2.0;Arceau en U;Auditorium RTBF
50.4471187962,3.94989570144;"{""type"": ""Point"", ""coordinates"": [3.949895701439963, 50.44711879617653]}";33;2018;MONS;Rue de la Boulangerie;3.0;Arceau en U;
50.4648788932,3.95764081182;"{""type"": ""Point"", ""coordinates"": [3.957640811821025, 50.46487889324356]}";46;2018;MONS;Station Cambio Nimy;1.0;Arceau en U;Avenue Victor Maistriau
50.46414674,4.04561156059;"{""type"": ""Point"", ""coordinates"": [4.045611560588313, 50.464146740031524]}";50;2018;HAVRE;Place d'Havré;3.0;Arceau en U;
50.4188820653,3.94321943068;"{""type"": ""Point"", ""coordinates"": [3.943219430683411, 50.41888206534888]}";54;2018;CIPLY;Place de Ciply;2.0;Arceau en U;
